INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column,ZipCode
221422003,12/04/2020,13:05:00,BRONX,40,2,MULTI DWELL - PUBLIC HOUS,False,,,,18-24,M,BLACK,1017119,183909,40.6714116630001,-73.881511724,POINT (-73.88151172399995 40.67141166300007),11208
221940312,12/16/2020,16:00:00,BRONX,49,2,MULTI DWELL - PUBLIC HOUS,False,,,,<18,M,BLACK,1013724,253001,40.8610630850001,-73.893447414,POINT (-73.893447414 40.86106308500007),10458
216059568,08/02/2020,23:20:00,BROOKLYN,77,0,,False,,,,45-64,M,BLACK,1007025,254869,40.866210002,-73.917659192,POINT (-73.91765919199997 40.86621000200005),10034
219173973,10/14/2020,01:09:00,BROOKLYN,73,0,,False,<18,M,BLACK,18-24,M,BLACK,998409,171068,40.636215614,-73.948986484,POINT (-73.948986484 40.63621561400004),11210
220200662,11/07/2020,02:58:00,BROOKLYN,69,0,BAR/NIGHT CLUB,True,25-44,M,BLACK,25-44,M,BLACK,1026934,240787,40.8274852960001,-73.845768612,POINT (-73.84576861199997 40.82748529600008),10473
220154694,11/05/2020,13:19:00,QUEENS,113,0,PVT HOUSE,False,18-24,M,BLACK,18-24,M,BLACK,997440,233857,40.8085576770001,-73.9523547539999,POINT (-73.95235475399994 40.80855767700007),10027
218718867,10/02/2020,02:55:00,QUEENS,113,0,,False,,,,18-24,M,ASIAN / PACIFIC ISLANDER,999880,190399,40.6892724580001,-73.9436416539999,POINT (-73.94364165399996 40.68927245800006),11221
217902814,09/15/2020,17:02:00,STATEN ISLAND,120,0,,True,25-44,M,BLACK,25-44,M,BLACK,938373,169290,40.6312278900001,-74.165284272,POINT (-74.16528427199995 40.63122789000005),10303
210758101,03/09/2020,00:10:00,BROOKLYN,72,0,,False,18-24,M,BLACK,18-24,M,WHITE HISPANIC,1010713,240858,40.827743663,-73.904380654,POINT (-73.90438065399997 40.82774366300004),10456
220553700,11/13/2020,16:20:00,BRONX,47,0,,False,18-24,M,ASIAN / PACIFIC ISLANDER,<18,M,BLACK,1001329,187143,40.680332805,-73.9384249989999,POINT (-73.93842499899995 40.68033280500004),11216
217218948,08/28/2020,20:58:00,BRONX,42,0,,False,18-24,M,BLACK,25-44,M,BLACK,1008524,247043,40.8447259800001,-73.912267948,POINT (-73.91226794799998 40.84472598000008),10452
214693790,06/27/2020,04:13:00,BROOKLYN,67,0,,False,,,,25-44,F,BLACK,1010869,183398,40.6700300810001,-73.904044397,POINT (-73.90404439699995 40.67003008100005),11212
214183639,06/12/2020,23:00:00,BRONX,47,0,,False,,,,18-24,F,BLACK,999005,176940,40.6523320160001,-73.94682625,POINT (-73.94682624999997 40.65233201600006),11203
216063391,08/01/2020,23:40:00,QUEENS,103,0,,False,25-44,M,BLACK,25-44,M,BLACK,998449,188817,40.684932642,-73.94880499,POINT (-73.94880498999999 40.68493264200004),11216
214693507,06/26/2020,20:40:00,BROOKLYN,73,0,COMMERCIAL BLDG,False,,,,18-24,M,BLACK,938392,169862,40.632798005,-74.1652197079999,POINT (-74.16521970799994 40.63279800500004),10303
211865567,04/08/2020,21:12:00,QUEENS,101,0,,False,,,,<18,M,WHITE HISPANIC,1013655,177161,40.652902087,-73.89402854,POINT (-73.89402853999997 40.65290208700002),11207
214931255,07/05/2020,04:15:00,BROOKLYN,77,0,,False,,,,25-44,F,BLACK,999880,190399,40.6892724580001,-73.9436416539999,POINT (-73.94364165399996 40.68927245800006),11221
215350645,07/15/2020,02:10:00,BROOKLYN,77,0,,False,,,,45-64,F,BLACK,979857,175516,40.6484346460001,-74.015832345,POINT (-74.01583234499998 40.648434646000055),11220
218219811,09/22/2020,09:40:00,QUEENS,113,0,,False,25-44,M,BLACK,25-44,M,BLACK,999794,241252,40.8288510450001,-73.943834191,POINT (-73.94383419099995 40.82885104500008),10031
214947246,07/05/2020,00:57:00,MANHATTAN,32,0,,False,,,,25-44,M,BLACK,1007050,172316,40.63962308,-73.9178487089999,POINT (-73.91784870899994 40.639623080000035),11236
213050797,05/13/2020,20:24:00,BROOKLYN,67,0,,True,,,,25-44,M,BLACK,1051960,160392,40.6066648550001,-73.756149603,POINT (-73.75614960299998 40.606664855000076),11691
216745747,08/19/2020,00:03:00,BROOKLYN,69,2,MULTI DWELL - PUBLIC HOUS,False,25-44,M,BLACK,25-44,M,BLACK,1003508,185056,40.6745999900001,-73.930574822,POINT (-73.93057482199998 40.67459999000005),11213
219975711,10/31/2020,19:04:00,MANHATTAN,28,0,MULTI DWELL - APT BUILD,False,25-44,M,BLACK,25-44,M,BLACK,1019408,216823,40.761743826,-73.873088201,POINT (-73.87308820099996 40.761743826000036),11369
219106021,10/12/2020,18:37:00,BRONX,42,0,,True,25-44,M,BLACK,25-44,M,BLACK,1025864,261342,40.8839076640001,-73.849507305,POINT (-73.84950730499997 40.88390766400005),10466
213748381,06/01/2020,14:33:00,QUEENS,113,0,,True,,,,18-24,M,BLACK,961580,163524,40.615491223,-74.08165623,POINT (-74.08165622999996 40.61549122300004),10304
216103887,08/03/2020,21:35:00,QUEENS,113,0,MULTI DWELL - APT BUILD,False,18-24,M,BLACK,18-24,M,BLACK,1008575,181362,40.6644483150001,-73.912321224,POINT (-73.91232122399998 40.66444831500007),11212
